date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:46:33	1588/1588	---M-Z	200	added ('OK')	text/plain	date:Tue,%2021%20May%202019%2022:19:12%20GMT	https://www.computerhope.com/robots.txt		(from )
22:46:34	15198/15198	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202020%2007:00:01%20GMT	https://www.computerhope.com/	C:/My%20Web%20Sites/COMPUTER%20HOPE/www.computerhope.com/index.html	(from )
22:46:34	15524/15524	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Aug%202014%2021:49:58%20GMT	https://www.computerhope.com/cdn/chsprite.png	C:/My%20Web%20Sites/COMPUTER%20HOPE/www.computerhope.com/cdn/chsprite.png	(from https://www.computerhope.com/)
22:46:34	19848/19848	---MCZ	200	added ('OK')	text/css	date:Sun,%2001%20Dec%202019%2020:04:37%20GMT	https://www.computerhope.com/cdn/site.css	C:/My%20Web%20Sites/COMPUTER%20HOPE/www.computerhope.com/cdn/site.css	(from https://www.computerhope.com/)
22:46:35	20578/20578	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Mar%202015%2021:11:15%20GMT	https://www.computerhope.com/cdn/freehelp.jpg	C:/My%20Web%20Sites/COMPUTER%20HOPE/www.computerhope.com/cdn/freehelp.jpg	(from https://www.computerhope.com/)
22:46:35	109179/109179	---MC-	200	added ('OK')	text/javascript	date:Wed,%2019%20Feb%202020%2017:16:34%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/COMPUTER%20HOPE/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://www.computerhope.com/)
22:46:35	10645/10645	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Aug%202014%2021:49:52%20GMT	https://www.computerhope.com/cdn/apple-touch-icon.png	C:/My%20Web%20Sites/COMPUTER%20HOPE/www.computerhope.com/cdn/apple-touch-icon.png	(from https://www.computerhope.com/)
22:46:36	5430/5430	---MCZ	200	added ('OK')	image/x-icon	date:Sat,%2002%20Jan%202016%2023:18:26%20GMT	https://www.computerhope.com/cdn/favicon.ico	C:/My%20Web%20Sites/COMPUTER%20HOPE/www.computerhope.com/cdn/favicon.ico	(from https://www.computerhope.com/)
22:46:37	8531/8531	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jan%202020%2007:55:36%20GMT	https://www.computerhope.com/oh.htm	C:/My%20Web%20Sites/COMPUTER%20HOPE/www.computerhope.com/oh.html	(from https://www.computerhope.com/)
22:46:38	11747/11747	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20May%202017%2004:39:21%20GMT	https://www.computerhope.com/cdn/computer-hope.jpg	C:/My%20Web%20Sites/COMPUTER%20HOPE/www.computerhope.com/cdn/computer-hope.jpg	(from https://www.computerhope.com/)
22:46:39	11087/11087	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jan%202020%2008:31:44%20GMT	https://www.computerhope.com/tips/tip156.htm	C:/My%20Web%20Sites/COMPUTER%20HOPE/www.computerhope.com/tips/tip156.html	(from https://www.computerhope.com/)
22:46:39	17463/17463	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202020%2007:00:01%20GMT	https://www.computerhope.com/jargon.htm	C:/My%20Web%20Sites/COMPUTER%20HOPE/www.computerhope.com/jargon.html	(from https://www.computerhope.com/)
22:46:40	45229/45229	---MC-	200	added ('OK')	text/javascript	date:Thu,%2006%20Feb%202020%2000:21:02%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/COMPUTER%20HOPE/www.google-analytics.com/analytics.js	(from https://www.computerhope.com/)
22:46:40	10755/10755	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jan%202020%2008:31:29%20GMT	https://www.computerhope.com/tips/	C:/My%20Web%20Sites/COMPUTER%20HOPE/www.computerhope.com/tips/index.html	(from https://www.computerhope.com/)
22:46:40	12754/12754	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202020%2007:00:01%20GMT	https://www.computerhope.com/history/	C:/My%20Web%20Sites/COMPUTER%20HOPE/www.computerhope.com/history/index.html	(from https://www.computerhope.com/)
22:46:40	35883/35883	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202020%2017:16:39%20GMT	https://www.computerhope.com/forum/	C:/My%20Web%20Sites/COMPUTER%20HOPE/www.computerhope.com/forum/index.html	(from https://www.computerhope.com/)
22:46:40	2618/2618	---M--	200	added ('OK')	image/jpeg	date:Sun,%2016%20Oct%202011%2020:40:52%20GMT	https://www.computerhope.com/comp/logos/facebook.jpg	C:/My%20Web%20Sites/COMPUTER%20HOPE/www.computerhope.com/comp/logos/facebook.jpg	(from https://www.computerhope.com/)
22:46:40	7452/7452	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202020%2017:16:40%20GMT	https://www.computerhope.com/contact/	C:/My%20Web%20Sites/COMPUTER%20HOPE/www.computerhope.com/contact/index.html	(from https://www.computerhope.com/)
22:46:41	17295/17295	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jan%202020%2009:02:57%20GMT	https://www.computerhope.com/jargon/w/wifi.htm	C:/My%20Web%20Sites/COMPUTER%20HOPE/www.computerhope.com/jargon/w/wifi.html	(from https://www.computerhope.com/)
22:46:41	22123/22123	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jun%202017%2023:51:43%20GMT	https://www.computerhope.com/jargon/w/wirelessadapters.jpg	C:/My%20Web%20Sites/COMPUTER%20HOPE/www.computerhope.com/jargon/w/wirelessadapters.jpg	(from https://www.computerhope.com/)
22:46:41	9990/9990	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202020%2017:16:40%20GMT	https://www.computerhope.com/cgi-bin/wotd.cgi?yesterday	C:/My%20Web%20Sites/COMPUTER%20HOPE/www.computerhope.com/cgi-bin/wotdeac9.html	(from https://www.computerhope.com/)
22:46:42	239/239	---MC-	302	error ('Found')	text/html	date:Wed,%2019%20Feb%202020%2017:16:41%20GMT	https://www.computerhope.com/cgi-bin/random.cgi	C:/My%20Web%20Sites/COMPUTER%20HOPE/www.computerhope.com/cgi-bin/random.cgi	(from https://www.computerhope.com/)
22:46:42	9667/9667	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jan%202020%2008:43:05%20GMT	https://www.computerhope.com/jargon/e/equalizer-apo.htm	C:/My%20Web%20Sites/COMPUTER%20HOPE/www.computerhope.com/jargon/e/equalizer-apo.html	(from https://www.computerhope.com/)
22:46:43	12387/12387	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jan%202020%2008:17:08%20GMT	https://www.computerhope.com/issues/ch000808.htm	C:/My%20Web%20Sites/COMPUTER%20HOPE/www.computerhope.com/issues/ch000808.html	(from https://www.computerhope.com/)
22:46:43	16747/16747	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202017%2002:32:44%20GMT	https://www.computerhope.com/jargon/c/compress.jpg	C:/My%20Web%20Sites/COMPUTER%20HOPE/www.computerhope.com/jargon/c/compress.jpg	(from https://www.computerhope.com/)
22:46:44	11400/11400	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202020%2017:16:43%20GMT	https://www.computerhope.com/cgi-bin/history.pl?2-19	C:/My%20Web%20Sites/COMPUTER%20HOPE/www.computerhope.com/cgi-bin/historyc7b0.html	(from https://www.computerhope.com/)
